model_name,configuration,series_key,status,reason,mae,rmse,mape,smape,r2,mase,parameters
Exponential Smoothing,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,229.9228210857727,649.5374947116251,4456.684132657079,112.74479805289246,-0.016743233459433588,0.6561842833579244,{}
Holt,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,1111.6474546256304,1301.4879113983445,32534.557416040567,162.48579145066142,-4.248741469553381,3.0949788372970857,{}
Holt-Winters,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,248.50108329023683,634.2190831401687,3769.271131128091,120.5972769606034,0.028886113658732615,0.7095568202719768,{}
ARIMA,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,230.0773414454055,649.6159080848266,4456.911826949717,112.82321632976435,-0.01701498894194479,0.6566780203973737,{}
SARIMA,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,243.35637472481343,642.6885811224203,4683.117331371629,116.61868442892283,0.006808152099315771,0.6942145795652794,{}
Linear Regression,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,945.9027581330765,1455.6348751117591,31726.854654347408,145.83580512997437,-8.702970846255404,3.0789302751746894,{}
Ridge,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,430.24618399840136,730.3571272735608,11884.96969285686,134.91653159452926,-0.37594537564464753,1.2652911408091645,{}
Lasso,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,674.7040224361205,944.8916235935231,20399.75571191211,144.89123141799416,-1.8127099108127414,2.1403329306064043,{}
ElasticNet,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,425.94629351423123,725.7463257378377,11706.518187672453,134.7968285177965,-0.3525858415756857,1.2527149752892723,{}
Decision Tree,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,729.4033942460104,1184.8373936382513,12001.520096782255,126.45289508503318,-3.9042382928305988,2.177957863355609,{}
Random Forest,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,642.0064395382395,892.4889220043384,15401.87748398934,145.03106271000726,-1.2689468374077828,1.8770375570134712,{}
Extra Trees,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,428.5080740740741,711.1199295550749,8176.886534645525,139.61166728104683,-0.27307496812353155,1.2652628752999084,{}
Gradient Boosting,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,285.3436118649185,679.3368684386229,5649.4723256087245,121.15532116622774,-0.13196603943873875,0.8398419830714073,{}
AdaBoost,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,261.31368739314945,649.8265005999161,5080.6375743287335,117.00076829920931,-0.014257740444439873,0.757685308702801,{}
MLP,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,276.4706592217651,638.5471797271002,6317.377146814382,119.23362233447642,0.02197355402648693,0.813521090255746,{}
XGBoost,default,ALL,unavailable,xgboost is not installed,,,,,,,
LightGBM,default,ALL,unavailable,lightgbm is not installed,,,,,,,
CatBoost,default,ALL,unavailable,catboost is not installed,,,,,,,
Prophet,default,ALL,unavailable,prophet is not installed,,,,,,,
AutoARIMA,default,ALL,unavailable,pmdarima is not installed,,,,,,,
LSTM,default,ALL,unavailable,tensorflow is not installed,,,,,,,
Bidirectional LSTM,default,ALL,unavailable,tensorflow is not installed,,,,,,,
GRU,default,ALL,unavailable,tensorflow is not installed,,,,,,,
CNN-LSTM,default,ALL,unavailable,tensorflow is not installed,,,,,,,
MLP,tuned,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,234.98647903308583,360.9963574559424,4147.373500286154,101.11250815538263,-0.16822181434134018,0.9454853441781174,"{""alpha"": 0.0005, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}"
AdaBoost,tuned,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,152.37369090515418,348.60816575436894,1274.4259746969417,86.77913164697846,-0.07853387487701302,0.6281440353472761,"{""learning_rate"": 0.05, ""n_estimators"": 100}"
ElasticNet,tuned,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,175.54026942650913,354.6190283873805,663.8931211508426,119.90650183704594,-0.1167817192411964,0.7280404562580168,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
